station_id,ring,capacity,longitude,latitude
HIGH-RISE-BLKA-RMU,RING 1,315,3.2415,6.3027
HIGH-RISE-AUX-RMU,RING 1,1000,3.2349,6.3023
JAJA-RMU,Ring 3,1000,3.2350,6.3046
MEDICAL-QTRS-RMU,Ring 1,500,3.2344,6.3041
VC-LOUNGE-RMU,RING 1,100,3.2351,6.3041
FIRST-BANK-RMU,RING 4,1000,3.3971,6.5183
ACCESS-BANK-RMU,RING 4,0,3.39680,6.5182
GUEST-HOUSE-RMU,RING 3,0,3.3968,6.5190
UNILAG-CONSULT-RMU,RING 4,0,3.3919,6.5182
SPORT-CENTRE-RMU,RING 4,1000,3.3883,6.5202
MULTI-HALL-RMU,RING 4,0,3.3895,6.5205
CHAPEL-RMU,RING 4,1000,3.38790,6.5182
ISL-RMU,RING 4,1000,3.3915,6.5121
OZOLUA-ROAD-RMU,RING 1,300,3.3910,6.5220
KOSOKO-DRIVE-RMU,RING 1,300,3.3922,6.5218
TINUBU-CLOSE-RMU,RING 1,300,3.3934,6.5212
AGERIGE-ODO-RMU,RING 1,300,3.3941,6.5209
ALVAN-IKOKU-RMU,RING 1,500,3.3928,6.5204
CITS-RMU,RING 1,500,3.3937,6.5195
SODEINDE-RMU,RING 4,750,3.3927,6.5192
FAGUNWA-RMU,RING 4,1000,3.3920,6.5198
GTBANK-RMU, RING 3,1000,3.3978,6.5171
